"","name","Right.ascension","Declination","SpType","RA","DE"
"32","HD 28911","04 h 33m 46.6414s","+13° 15' 06.780","F2",68.4443391666667,13.2518833333333
"33","CCDM J04518+13°39AB","04 h 51m 49.9883s","+13° 39' 18.559","F5",72.9582845833333,13.6551552777778
"34","* 83 Tau","04 h 30m 37.3635s","+13° 43' 27.848","F0V",67.65568125,13.7244022222222
"35","HD 32347","05h 03m 07.6577s","+13° 43' 50.408","K0",75.7819070833333,13.7306688888889
"36","HD 27483","04 h 20m 52.7207s","+13° 51' 51.937","F6V",65.2196695833333,13.8644269444444
"37","HD 28258","04 h 28m 04.4358s","+13° 52' 04.592","G5",67.0184825,13.8679422222222
"38","HD 28635","04 h 31m 29.3475s","+13° 54' 12.487","F8",67.87228125,13.9034686111111
"39","HD 31609","04 h 57m 49.5041s","+14° 00' 07.869","G5",74.4562670833333,14.0021858333333
"40","V* V483 Tau","04 h 19m 57.7042s","+14° 02' 06.724","F0IV",64.9904341666667,14.0352011111111
"41","V* V775 Tau","04 h 22m 03.5182s","+14° 04' 37.915","A3m",65.5146591666667,14.0771986111111
"42","HD 29461","04 h 38m 57.3145s","+14° 06' 20.086","G5",69.7388104166667,14.1055794444444
"43","HD 285762","04 h 22m 45.2774s","+14° 15' 05.120","G0",65.6886558333333,14.2514222222222
"44","HD 285828","04 h 27m 25.3365s","+14° 15' 38.450","K2",66.85556875,14.2606805555556
"45","HD 27561","04 h 21m 34.7955s","+14° 24' 35.241","F5V",65.39498125,14.4097891666667
"46","HD 285830","04 h 27m 47.0359s","+14° 25' 03.895","K0",66.9459829166667,14.4177486111111
"47","HD 26756","04 h 14m 25.6501s","+14° 37' 30.125","G5",63.6068754166667,14.6250347222222
"48","HD 27771","04 h 23m 32.3322s","+14° 40' 13.719","G5",65.8847175,14.6704775
"49","76 Tau","04 h 28m 23.4029s","+14° 44' 27.507","F0IV",67.0975120833333,14.7409741666667
"50","V* V895 Tau","04 h 24m 12.4567s","+14° 45' 29.545","G1V",66.0519029166667,14.7582069444444
"51","HD 285710","04 h 21m 33.9050s","+14° 50' 04.325","G5",65.3912708333333,14.8345347222222
"52","Cl* Melotte 25 VA 725","04 h 33m 50.9177s","+14° 50' 39.928","A8V",68.4621570833333,14.8444244444444
"53","HD 27691","04 h 22m 44.1713s","+15° 03' 21.929","G0",65.6840470833333,15.0560913888889
"54","NSV 1735","04 h 50m 33.8169s","+15° 05' 00.433","G5",72.64090375,15.0834536111111
