"","recno","HIP","RAhms","DEdms","Vmag","RA","DE","Plx","pmRA","pmDE","B.V","SpType"
"58",11853,11862,"02 33 04.43","+07 49 43.1",12,38.27,7.83,27.61,216.03,-78.3,1.5,"M2V:"
"59",11931,11941,"02 34 03.53","+12 10 51.4",7.49,38.51,12.18,23.21,181.42,-34.59,0.67,"G0"
"60",11972,11983,"02 34 34.73","+05 26 51.7",9.81,38.64,5.45,24.8,-292.15,-575.08,0.91,"K3V"
"61",12023,12034,"02 35 10.39","+04 07 25.9",8.15,38.79,4.12,18.5,196.47,-109.83,0.54,"G0"
"62",12076,12087,"02 35 47.57","+06 36 15.4",10.51,38.95,6.6,20.6,302.21,31,1.08,"K7V:"
"63",12131,12142,"02 36 30.90","+17 43 06.6",12.33,39.13,17.72,24.16,232.38,-168.76,0.8,""
"64",12142,12153,"02 36 37.75","+12 26 52.2",5.64,39.16,12.45,28.4,279.53,-85.4,0.52,"F7V"
"65",12144,12155,"02 36 38.45","+12 12 29.5",11.73,39.16,12.21,21.56,233.51,-64.48,1.35,"M0V:"
"66",12173,12184,"02 36 57.64","+24 38 53.1",7.1,39.24,24.65,25.36,150.58,-12.55,0.41,"F4V"
"67",12178,12189,"02 37 00.44","+24 38 50.1",6.48,39.25,24.65,24.92,137.08,-14.18,0.51,"F6III"
"68",12295,12306,"02 38 28.19","+30 49 03.2",7.36,39.62,30.82,27.89,-487.55,-387.37,0.58,"G0V"
"69",12435,12447,"02 40 15.66","+06 06 43.0",6.26,40.07,6.11,25.24,51.42,-3.79,0.4,"F3V:"
"70",12533,12545,"02 41 25.84","+05 59 18.9",10.28,40.36,5.99,24.67,82.32,-55.14,1.46,"M0"
"71",12630,12642,"02 42 25.43","+18 14 41.3",11.98,40.61,18.24,28.38,216.97,110.83,NA,""
"72",12775,12787,"02 44 21.32","+10 57 41.6",10.98,41.09,10.96,29.78,66.21,-34.97,1.4,"M0"
"73",12820,12832,"02 44 57.51","+12 26 45.5",5.17,41.24,12.45,26.15,124.1,-84.8,0.23,"A7III-IV"
"74",12845,12856,"02 45 16.73","+05 33 39.6",10.58,41.32,5.56,28.45,45.25,-213.24,1.1,"K7V:"
"75",12850,12862,"02 45 20.87","+04 42 42.2",6.04,41.34,4.71,19.5,69.35,-41.63,0.31,"F0III:"
"76",13014,13026,"02 47 26.98","+01 03 33.4",7.93,41.86,1.06,18.83,-36.66,41.87,0.5,"F5"
"77",13015,13027,"02 47 27.35","+19 22 20.0",6.9,41.86,19.37,30.66,117.81,-160.26,0.68,"G0"
"78",13049,13061,"02 47 54.44","+29 14 50.7",4.52,41.98,29.25,18.06,148.42,-125.76,1.11,"K1III"
"79",13105,13117,"02 48 43.22","+00 02 03.5",11.69,42.18,0.03,29.67,494.62,78.24,1.46,""
"80",13161,13173,"02 49 25.56","+07 51 59.3",12.04,42.36,7.87,20.51,-65.09,23.31,1.44,"K7"
"81",13197,13209,"02 49 58.99","+27 15 38.8",3.61,42.5,27.26,20.45,65.47,-116.59,-0.1,"B8Vn"
"82",13279,13291,"02 51 04.20","+30 17 12.6",7.56,42.77,30.29,21.22,127.23,-32.9,0.58,"G0V"
"83",13397,13410,"02 52 39.90","+05 43 04.8",10.32,43.17,5.72,22.84,-78.92,-300.21,1.03,"K7V:"
"84",13400,13412,"02 52 41.33","+03 16 50.1",12.08,43.17,3.28,25.49,102.51,-6.79,1.46,"M1"
"85",13588,13600,"02 55 16.21","+17 53 30.3",8.83,43.82,17.89,18.89,117.79,-13.2,0.7,"K0"
"86",13632,13644,"02 55 41.07","+28 07 48.8",11.05,43.92,28.13,27.57,271.78,-149.87,1.4,"K7"
"87",13662,13674,"02 56 07.25","+07 55 21.5",9.93,44.03,7.92,19.81,186.3,-46.04,1.06,"K0"
"88",13666,13678,"02 56 12.04","+13 54 47.5",9.03,44.05,13.91,23.04,-82.41,-72.34,0.81,"K0"
"89",13667,13679,"02 56 13.73","+08 22 54.4",5.97,44.06,8.38,22.46,69.83,-88.32,0.48,"F7IV"
"90",13690,13702,"02 56 25.98","+18 01 25.1",5.58,44.11,18.02,28.24,281.23,-218.84,0.47,"F6V"
"91",13738,13750,"02 57 00.67","+10 09 44.0",7.9,44.25,10.16,25.66,-61.71,-76.05,0.6,"F5"
"92",13761,13773,"02 57 14.90","+01 53 15.3",7.56,44.31,1.89,20.12,99.25,-101.38,0.58,"G0V"
"93",13794,13806,"02 57 46.55","+29 39 41.7",8.92,44.44,29.66,25.77,188.82,-46.08,0.86,"G5"
"94",13822,13834,"02 58 05.08","+20 40 07.7",5.8,44.52,20.67,31.41,234.79,-31.64,0.42,"F5IV"
"95",14011,14023,"03 00 35.69","+05 59 11.2",8.11,45.15,5.99,30.87,698.12,-157.87,0.84,"K0V"
"96",14163,14175,"03 02 46.44","+12 21 14.4",10.21,45.69,12.35,19.33,196.19,14.14,1.38,""
"97",14199,14211,"03 03 13.68","+22 22 11.1",10.78,45.81,22.37,23.43,26.62,40.59,1.14,"M0"
"98",14218,14230,"03 03 28.58","+23 03 41.3",7.09,45.87,23.06,29.62,111.75,3.47,0.62,"G0"
"99",14220,14232,"03 03 30.11","+28 16 11.8",6.38,45.88,28.27,20.01,66.87,-20.64,0.31,"F0V"
"100",14246,14258,"03 03 50.68","+06 07 59.4",6.92,45.96,6.13,31.75,231.78,48.42,0.55,"F8"
"101",14582,14594,"03 08 25.72","+26 19 58.7",8.04,47.11,26.33,25.85,-209.55,-830.33,0.49,"A4p"
"102",14602,14614,"03 08 44.26","+15 20 07.1",7.85,47.18,15.34,24.44,68.85,-194.89,0.64,"G8V"
"103",14693,14705,"03 09 59.73","+15 22 26.1",9.06,47.5,15.37,21.3,-96.99,-281.02,0.83,"K0IV-V"
"104",14699,14711,"03 10 04.20","+12 59 50.0",11.13,47.52,13,20.47,-120.41,-164.81,1.01,""
"105",14791,14803,"03 11 10.18","+09 11 47.5",11.31,47.79,9.2,19.13,238.1,-71.82,1.25,"K7V:"
"106",14793,14805,"03 11 11.49","+30 07 41.0",11.41,47.8,30.13,19.1,182.03,-125.26,0.67,""
"107",14795,14807,"03 11 12.30","+22 25 23.9",10.55,47.8,22.42,19.36,59.21,-129.85,NA,""
"108",14797,14809,"03 11 13.81","+22 24 58.2",8.51,47.81,22.42,20.24,56.04,-125.11,0.71,"G5"
"109",14798,14810,"03 11 14.23","+21 05 51.0",8.52,47.81,21.1,18.91,-3.01,-53.57,0.78,"G5"
"110",14826,14838,"03 11 37.67","+19 43 36.1",4.35,47.91,19.73,19.44,154.61,-8.39,1.03,"K2IIIvar"
"111",14962,14974,"03 13 02.12","+20 43 48.2",8.65,48.26,20.73,19.2,-44.39,-65.23,0.62,"G5"
"112",15008,15020,"03 13 36.59","+07 42 33.9",11.9,48.4,7.71,24.82,-130.88,-300.64,1.44,"K7V:"
"113",15050,15062,"03 14 04.80","+18 18 15.7",8.12,48.52,18.3,24.52,-15.3,-227.78,0.62,"G5"
"114",15062,15074,"03 14 17.64","+09 07 52.0",11.16,48.57,9.13,18.08,273.8,-81.77,1.16,"M0V:"
"115",15265,15278,"03 17 06.45","+24 02 06.5",8.96,49.28,24.04,18.4,107.1,6.09,0.72,"G5"
"116",15287,15300,"03 17 22.74","+26 18 54.5",11.11,49.34,26.32,29.49,182.9,-47.44,1.41,"M0"
"117",15291,15304,"03 17 26.29","+07 39 21.0",7.38,49.36,7.66,20.2,169.3,-7.64,0.57,"F8"
"118",15297,15310,"03 17 32.68","+07 41 24.6",7.78,49.39,7.69,21.64,170.41,-7.48,0.62,"G0"
